Jun 16,5,0,0,0
Jun 17,62,0,2,0
Jun 18,313,-90,7,-22
Jun 19,540,-258,1322,-1114
Jun 20,463,-213,971,-630
Jun 21,722,-131,788,-905
Jun 22,448,-55,956,-655
Jun 23,244,-39,257,-271
Jun 24,404,-21,133,-1057
Jun 25,268,-24,213,-259
Jun 26,3396,-253,1457,-928
Jun 27,396,-57,151,-135
Jun 28,151,-32,83,-92
Jun 29,77,-3,351,-210
Jun 30,15,-2,90,-40
Jul 01,13,-8,43,-30
Jul 02,22,-6,70,-26
Jul 03,26,-9,32,-27
Jul 04,22,-11,31,-15
Jul 05,12,-2,12,-12
Jul 31,0,0,1,0
Aug 01,0,0,0,0
Aug 02,0,0,0,0
Aug 03,5,0,0,0
Aug 04,0,0,2,0
Aug 05,0,-1,6,0
Aug 06,0,0,18,-2
Aug 07,45,-8,23,-15
Aug 08,7,-2,13,-3
Aug 09,0,0,23,-9
Aug 10,4,0,33,-4
Aug 11,0,0,12,-5
Aug 12,0,0,2,-2
Aug 13,2,0,15,-7
Aug 14,7,-2,38,-5
Aug 15,28,-3,75,-25
Aug 16,11,-3,56,-24
Aug 17,1,-1,7,-3
Aug 18,0,-4,1,0
Aug 19,0,0,1,0
Aug 20,1,0,1,-6
Aug 21,16,-8,18,-18
Aug 22,12,-7,18,-28
Aug 23,19,-5,33,-26
Aug 24,43,-18,27,-13
Aug 25,10,-7,14,-17
Aug 26,25,-6,23,-12
Aug 27,29,-9,30,-20
Aug 28,109,-42,29,-21
Aug 29,34,-10,30,-16
Aug 30,36,-12,23,-26
Aug 31,26,-18,11,-9
Sep 11,1,0,0,0
Sep 12,0,0,0,0
Sep 14,0,0,0,0
Sep 15,0,0,2,0
Sep 19,0,0,0,0
Sep 24,0,0,1,0
Oct 08,0,0,0,0
Oct 24,0,0,0,0
Nov 08,0,0,1,0
Num discarded: 28553
